Product ID,Discount Rate,Profit,Cost,Customer Name,Segment,City,State,Category,Sub-Category,Product Name,Sales
FUR-BO-10001798,0,41.91,220.05,Claire Gute,Consumer,Henderson,Kentucky,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96
FUR-CH-10000454,0,219.58,512.36,Claire Gute,Consumer,Henderson,Kentucky,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94
OFF-LA-10000240,0,6.87,7.75,Darrin Van Huff,Corporate,Los Angeles,California,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62
FUR-TA-10000577,0.45,-383.03,1340.61,Sean O'Donnell,Consumer,Fort Lauderdale,Florida,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.58
OFF-ST-10000760,0.2,2.52,19.85,Sean O'Donnell,Consumer,Fort Lauderdale,Florida,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.37
FUR-FU-10001487,0,14.17,34.69,Brosina Hoffman,Consumer,Los Angeles,California,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86
OFF-AR-10002833,0,1.97,5.31,Brosina Hoffman,Consumer,Los Angeles,California,Office Supplies,Art,Newell 322,7.28
TEC-PH-10002275,0.2,90.72,816.43,Brosina Hoffman,Consumer,Los Angeles,California,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.15
OFF-BI-10003910,0.2,5.78,12.72,Brosina Hoffman,Consumer,Los Angeles,California,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.50
OFF-AP-10002892,0,34.47,80.43,Brosina Hoffman,Consumer,Los Angeles,California,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.90
FUR-TA-10001539,0.2,85.31,1620.87,Brosina Hoffman,Consumer,Los Angeles,California,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.18
TEC-PH-10002033,0.2,68.36,843.06,Brosina Hoffman,Consumer,Los Angeles,California,Technology,Phones,Konftel 250 Conference�phone�- Charcoal black,911.42
OFF-PA-10002365,0.2,5.44,10.11,Andrew Allen,Consumer,Concord,North Carolina,Office Supplies,Paper,Xerox 1967,15.55
OFF-BI-10003656,0.2,132.59,275.39,Irene Maddox,Consumer,Seattle,Washington,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.98
OFF-AP-10002311,0.8,-123.86,192.67,Harold Pawlan,Home Office,Fort Worth,Texas,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81
OFF-BI-10000756,0.8,-3.82,6.36,Harold Pawlan,Home Office,Fort Worth,Texas,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.54
OFF-ST-10004186,0,13.32,652.56,Pete Kriz,Consumer,Madison,Wisconsin,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88
OFF-ST-10000107,0,9.99,45.51,Alejandro Grove,Consumer,West Jordan,Utah,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.50
OFF-AR-10003056,0,2.48,6.08,Zuschuss Donatelli,Consumer,San Francisco,California,Office Supplies,Art,Newell 341,8.56
TEC-PH-10001949,0.2,16.01,197.47,Zuschuss Donatelli,Consumer,San Francisco,California,Technology,Phones,Cisco SPA 501G IP Phone,213.48
OFF-BI-10002215,0.2,7.38,15.34,Zuschuss Donatelli,Consumer,San Francisco,California,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72
OFF-AR-10000246,0,5.06,14.40,Ken Black,Corporate,Fremont,Nebraska,Office Supplies,Art,Newell 318,19.46
