Profit,Customer Name,Segment,Category
41.91,Claire Gute,Consumer,Furniture
219.58,Claire Gute,Consumer,Furniture
6.87,Darrin Van Huff,Corporate,Office Supplies
-383.03,Sean O'Donnell,Consumer,Furniture
2.52,Sean O'Donnell,Consumer,Office Supplies
14.17,Brosina Hoffman,Consumer,Furniture
1.97,Brosina Hoffman,Consumer,Office Supplies
90.72,Brosina Hoffman,Consumer,Technology
5.78,Brosina Hoffman,Consumer,Office Supplies
34.47,Brosina Hoffman,Consumer,Office Supplies
85.31,Brosina Hoffman,Consumer,Furniture
68.36,Brosina Hoffman,Consumer,Technology
5.44,Andrew Allen,Consumer,Office Supplies
132.59,Irene Maddox,Consumer,Office Supplies
-123.86,Harold Pawlan,Home Office,Office Supplies
-3.82,Harold Pawlan,Home Office,Office Supplies
13.32,Pete Kriz,Consumer,Office Supplies
9.99,Alejandro Grove,Consumer,Office Supplies
2.48,Zuschuss Donatelli,Consumer,Office Supplies
16.01,Zuschuss Donatelli,Consumer,Technology
7.38,Zuschuss Donatelli,Consumer,Office Supplies
5.06,Ken Black,Corporate,Office Supplies
15.69,Ken Black,Corporate,Office Supplies
-1.02,Sandra Flanagan,Consumer,Furniture
240.26,Emily Burns,Consumer,Furniture
4.22,Eric Hoffmann,Consumer,Office Supplies
11.77,Eric Hoffmann,Consumer,Technology
-1665.05,Tracy Blumstein,Consumer,Furniture
-7.05,Tracy Blumstein,Consumer,Office Supplies
15.53,Tracy Blumstein,Consumer,Furniture
1.10,Tracy Blumstein,Consumer,Office Supplies
9.71,Tracy Blumstein,Consumer,Office Supplies
-5.72,Tracy Blumstein,Consumer,Office Supplies
3.55,Tracy Blumstein,Consumer,Office Supplies
9.95,Matt Abelman,Home Office,Office Supplies
123.47,Gene Hale,Corporate,Technology
-147.96,Gene Hale,Corporate,Furniture
35.42,Steve Nguyen,Home Office,Office Supplies
-46.98,Steve Nguyen,Home Office,Furniture
-15.15,Steve Nguyen,Home Office,Furniture
41.76,Steve Nguyen,Home Office,Technology
16.56,Linda Cazamias,Corporate,Technology
3.89,Ruben Ausman,Corporate,Office Supplies
9.56,Erin Smith,Corporate,Office Supplies
19.77,Odella Nelson,Corporate,Technology
8.21,Odella Nelson,Corporate,Office Supplies
8.48,Patrick O'Donnell,Consumer,Office Supplies
4.95,Lena Hernandez,Consumer,Technology
6.10,Lena Hernandez,Consumer,Technology
17.96,Darren Powers,Consumer,Office Supplies
35.33,Darren Powers,Consumer,Office Supplies
2.96,Darren Powers,Consumer,Furniture
17.10,Darren Powers,Consumer,Furniture
6.26,Janet Molinari,Corporate,Office Supplies
298.69,Janet Molinari,Corporate,Technology
52.14,Ted Butterfield,Consumer,Office Supplies
15.55,Ted Butterfield,Consumer,Office Supplies
7.10,Ted Butterfield,Consumer,Furniture
6.99,Ted Butterfield,Consumer,Office Supplies
3.30,Ted Butterfield,Consumer,Technology
16.36,Ted Butterfield,Consumer,Office Supplies
0.84,Ted Butterfield,Consumer,Office Supplies
6.15,Kunst Miller,Consumer,Technology
9.36,Kunst Miller,Consumer,Office Supplies
68.96,Kunst Miller,Consumer,Office Supplies
22.33,Kunst Miller,Consumer,Furniture
-15.22,Paul Stevenson,Home Office,Furniture
111.30,Brendan Sweed,Corporate,Office Supplies
62.99,Brendan Sweed,Corporate,Technology
35.66,Karen Daniels,Consumer,Office Supplies
1.73,Henry MacAllister,Consumer,Office Supplies
8.76,Tracy Blumstein,Consumer,Office Supplies
-114.39,Joel Eaton,Consumer,Furniture
1.21,Joel Eaton,Consumer,Furniture
-18.20,Joel Eaton,Consumer,Office Supplies
-1.93,Ken Brennan,Corporate,Office Supplies
-5.82,Ken Brennan,Corporate,Furniture
2.72,Ken Brennan,Corporate,Office Supplies
-14.48,Joel Eaton,Consumer,Furniture
56.20,Stewart Carmichael,Corporate,Office Supplies
8.04,Stewart Carmichael,Corporate,Office Supplies
4.17,Duane Noonan,Consumer,Office Supplies
6.20,Duane Noonan,Consumer,Office Supplies
62.81,Julie Creighton,Corporate,Office Supplies
-48.95,Christopher Schild,Home Office,Office Supplies
33.22,Patrick O'Donnell,Consumer,Furniture
6.80,Paul Gonzalez,Consumer,Technology
2.96,Paul Gonzalez,Consumer,Office Supplies
13.86,Gary Mitchum,Home Office,Office Supplies
6.63,Jim Sink,Corporate,Office Supplies
8.28,Jim Sink,Corporate,Technology
3.11,Jim Sink,Corporate,Office Supplies
6.22,Karl Braun,Consumer,Office Supplies
16.54,Karl Braun,Consumer,Furniture
16.15,Karl Braun,Consumer,Office Supplies
-3.79,Roger Barcio,Home Office,Office Supplies
40.54,Parhena Norris,Home Office,Furniture
17.96,Katherine Ducich,Consumer,Office Supplies
22.59,Elpida Rittenbach,Corporate,Office Supplies
22.62,Rick Bensley,Home Office,Office Supplies
-10.80,Rick Bensley,Home Office,Technology
-3.04,Rick Bensley,Home Office,Office Supplies
11.72,Gary Zandusky,Consumer,Office Supplies
-26.88,Lena Cacioppo,Consumer,Technology
-3.84,Lena Cacioppo,Consumer,Furniture
-25.82,Lena Cacioppo,Consumer,Office Supplies
17.60,Janet Martin,Consumer,Technology
2.10,Janet Martin,Consumer,Technology
1.07,Janet Martin,Consumer,Office Supplies
67.99,Pete Armstrong,Home Office,Technology
10.91,Cynthia Voltz,Corporate,Furniture
22.79,Clay Ludtke,Consumer,Office Supplies
